Date,pm10,CO,SO2,NO2
1/1/1993,12.6,0.657765883,6.059562619,10.67462282
1/2/1993,37,0.706044667,7.675674405,11.79896624
1/3/1993,28,0.84681465,7.849313429,13.88108488
1/4/1993,26,0.746542883,7.667325881,14.25112494
1/5/1993,19,0.8814196,5.375442274,12.75076976
1/6/1993,20,1.523422414,8.647442631,17.82808694
1/7/1993,22.81690141,1.291669793,11.72398131,18.70471019
1/8/1993,19,1.177634431,10.95362585,16.02441553
1/9/1993,8,0.868403293,4.844839171,14.56835694
1/10/1993,10,1.041269931,6.599152146,15.54532381
1/11/1993,15,1.230159914,10.47535077,20.07884144
1/12/1993,17,1.318195617,9.460568157,22.231642
1/13/1993,14.09859155,1.141089117,5.656938024,18.23441894
1/14/1993,21,1.251103983,8.877116279,17.30846124
1/15/1993,26,1.35950695,12.68340741,21.38814665
1/16/1993,27.5,1.15871985,15.18062337,20.82019931
1/17/1993,20,0.957718183,13.56553975,19.54176863
1/18/1993,22,0.992327917,6.783039381,16.74103263
1/19/1993,20.70422535,1.235966967,9.692788395,19.72521606
1/20/1993,31,1.086147567,10.8100509,22.78835538
1/21/1993,20,1.34978615,9.706126663,26.0216415
1/22/1993,17.66666667,1.023313267,5.789311756,20.54064769
1/23/1993,13,1.182883586,7.177826895,16.55712175
1/24/1993,16,0.734229224,7.968910116,13.48227219
1/25/1993,13.61428571,0.7383475,6.084163744,12.4974185
1/26/1993,43,0.856499633,8.814480881,17.810671
1/27/1993,19.12189804,1.035772483,9.577869605,19.63138581
1/28/1993,27,1.230010233,8.316210651,22.71297625
1/29/1993,36,1.130036102,7.589571279,18.86536456
1/30/1993,35,0.827180155,8.826167651,17.52976675
1/31/1993,17.25675676,0.78139369,8.529898174,16.60122275
2/1/1993,23,0.729254172,7.833247395,13.03076763
2/2/1993,18,0.786229033,8.927906093,15.08106069
2/3/1993,29.5,0.931895333,15.72347533,23.54088931
2/4/1993,35,0.886187067,11.51568563,18.06581138
2/5/1993,27,1.04085365,12.01198067,24.69063231
