Date,SO2,CO,PM_10,NO2
1/1/1993,3.97479165,0.453036423,15.60714286,5.8333332
1/2/1993,5.495823025,0.493589731,21.59863416,10.3333334
1/3/1993,3.713231875,0.416094269,21.59863416,7.459524
1/4/1993,4.056471875,0.871669423,21.59863416,8.3828156
1/5/1993,2.4700026,0.738601,21.59863416,8.8643938
1/6/1993,6.9156837,0.740305462,21.59863416,8.2054112
1/7/1993,6.0162381,0.761147,17.14285714,10.6701908
1/8/1993,5.07338445,0.609100923,21.59863416,8.6743084
1/9/1993,4.41520835,0.740384692,21.59863416,10.5166666
1/10/1993,5.644019625,0.577388615,21.59863416,12.0595238
1/11/1993,5.2496192,0.848429462,21.59863416,10.8694098
1/12/1993,2.112132525,0.903936692,21.59863416,11.85
1/13/1993,3.958798425,0.833130577,16.92592593,10.0066016
1/14/1993,5.112471025,0.864945615,21.59863416,12.8510228
1/15/1993,7.885024625,0.981794077,21.59863416,18.02
1/16/1993,5.895639925,0.773353769,21.59863416,12.9378786
1/17/1993,5.070116125,0.995833308,21.59863416,21.8666668
1/18/1993,6.385067925,1.068795692,21.59863416,28.0328948
1/19/1993,7.260667974,1.1392695,21.65517241,20.8532195
1/20/1993,4.798506575,0.890455154,21.59863416,17.3068182
1/21/1993,3.330834825,1.036346538,21.59863416,16.0496708
1/22/1993,3.312185575,1.481716154,21.59863416,24.3083334
1/23/1993,4.6313244,1.170510962,21.59863416,16.775
1/24/1993,4.153413125,0.662285,21.59863416,7.4619048
1/25/1993,8.22984535,0.811904615,15.55555556,10.4269538
1/26/1993,6.533517525,0.744370769,21.59863416,9.4562584
1/27/1993,8.9486694,0.815708846,21.59863416,16.0772728
1/28/1993,5.599879475,1.497333962,21.59863416,30.3248918
1/29/1993,8.90530435,1.401832538,21.59863416,24.3108696
1/30/1993,7.490282725,0.824519269,21.59863416,15.7833334
1/31/1993,5.752377425,0.648313538,22.96,13.6321428
2/1/1993,4.697050225,0.804559385,21.59863416,16.8729812
2/2/1993,4.817102275,0.709742667,21.59863416,17.579405
2/3/1993,4.5501755,1.091767875,21.59863416,17.9
2/4/1993,4.688795425,0.973558923,21.59863416,23.3732378
2/5/1993,5.631446075,1.097743042,21.59863416,21.9716666
2/6/1993,4.820238075,0.929166625,25.93103448,14.4916666
2/7/1993,6.252346925,0.436706333,21.59863416,9.5702382
2/8/1993,5.2260727,0.781363167,21.59863416,20.5299688
2/9/1993,5.2124272,1.241616077,21.59863416,25.3992424
2/10/1993,8.6659237,0.976044654,21.59863416,21.4541064
2/11/1993,2.493597125,0.821080962,21.59863416,14.883117
2/12/1993,1.3163225,0.569197308,16.5862069,10.94
2/13/1993,5.152594525,0.521955154,21.59863416,12.1833332
2/14/1993,4.811073275,0.619192538,21.59863416,15.1285714
2/15/1993,6.701638875,0.994371846,21.59863416,20.3901516
2/16/1993,4.799359775,0.640008346,21.59863416,9.2184342
2/17/1993,5.289258475,0.715040038,21.59863416,10.6295456
2/18/1993,11.41508192,0.585214577,24.17857143,9.3339264
2/19/1993,10.7935276,0.819752308,21.59863416,17.475
2/20/1993,3.878229125,1.061057692,21.59863416,20.6583336
2/21/1993,2.651515125,0.9828755,21.59863416,11.3833334
2/22/1993,4.904287,0.681119692,21.59863416,12.6468726
2/23/1993,5.480032375,0.771481346,21.59863416,18.1833334
2/24/1993,3.8806007,0.902435308,26.2962963,19.9128788
2/25/1993,9.7638323,0.816163654,21.59863416,16.7121872
2/26/1993,6.676934525,0.694711462,21.59863416,8.225
2/27/1993,8.926369025,0.617467885,21.59863416,10.0666666
2/28/1993,7.284352975,0.652205423,21.59863416,14.7011906
3/1/1993,5.71929645,0.973606808,31,19.8676406
3/2/1993,4.696556025,1.017009231,24.32142857,17.2857144
3/3/1993,2.819966025,0.729862231,31,13.1079006
3/4/1993,1.993293625,0.657348808,25,11.953788
3/5/1993,1.869132711,0.608974346,23,11.0029504
3/6/1993,5.307993474,0.742467962,19,20.77083325
3/7/1993,3.454333132,0.731959654,20,17.875
3/8/1993,1.962322368,0.976443538,25.85185185,17.6021428
3/9/1993,2.866059325,0.861015962,21,16.0587302
3/10/1993,3.0497195,1.217817192,28,21.4976132
3/11/1993,5.12204935,0.976727346,25,14.4765152
3/12/1993,7.480250158,0.720178385,27,12.3945324
3/13/1993,3.559916342,0.313159308,31,3.922222
3/14/1993,4.080846056,0.458936231,19.88888889,14.3154762
3/15/1993,8.12279975,0.727003423,23,16.8453464
3/16/1993,5.435252263,0.749961962,28,14.985202
3/17/1993,4.637024737,0.770555885,17.66666667,9.3132418
3/18/1993,3.214696421,0.629091308,18.5,13.7889096
3/19/1993,3.903803639,0.665935038,21.59863416,14.1431158
3/20/1993,4.205940167,0.514583346,18.59259259,10.8666664
3/21/1993,3.359988306,0.477548769,21.59863416,10.0250002
3/22/1993,5.511328579,0.699112846,21.59863416,14.181818
3/23/1993,2.6042995,0.809902615,17,15.0380766
3/24/1993,6.150900395,0.853901962,21.59863416,15.8216666
3/25/1993,3.949260632,0.896474423,21.59863416,16.3992424
3/26/1993,3.445394737,0.765036231,19.07692308,10.2749998
3/27/1993,3.410042139,0.673717885,21.59863416,12.6916666
3/28/1993,4.198069471,0.713476808,21.59863416,13.4011906
3/29/1993,3.901689667,0.960872692,21.59863416,15.970911
3/30/1993,3.444286639,1.076741846,21.59863416,12.6583332
3/31/1993,3.087458658,0.746925346,21.59863416,9.7642096
4/1/1993,2.040359895,0.681168231,20.6875,9.6405466
4/2/1993,6.599996553,0.590593615,21.59863416,11.7416668
4/3/1993,4.677866605,0.809294846,21.59863416,16.5166668
4/4/1993,6.256658553,0.633058577,21.59863416,9.5095238
4/5/1993,3.158203325,0.644029731,21.59863416,7.7096322
4/6/1993,4.32157795,0.616184885,21,11.1218254
4/7/1993,5.943974675,0.802840962,23.70588235,18.0328722
4/8/1993,5.27639075,0.734469077,25,14.4076812
4/9/1993,3.935690375,0.742881875,22,8.88541675
4/10/1993,4.439844075,0.600520833,23,7.760417
4/11/1993,3.739242375,0.6104415,26,7.66666675
4/12/1993,6.269681675,1.142587458,36,15.97083325
4/13/1993,4.984932154,1.116493,30.74285714,13.476183
4/14/1993,5.229439675,1.019106885,43,14.2069805
4/15/1993,3.803094,0.678943769,30,9.199146
4/16/1993,3.70968745,0.608333308,23,9.74003625
4/17/1993,6.541750775,0.733173077,21,14.31250025
4/18/1993,3.685029975,0.704983269,19,9.92261925
4/19/1993,4.369072079,0.841763679,28.96969697,12.9253032
4/20/1993,5.302280053,0.780273,24,12.3295454
4/21/1993,10.91989055,0.654860107,30,11.7219698
4/22/1993,9.329503125,0.539435214,24,11.6833332
4/23/1993,6.641616775,0.951041607,31,18.1041665
4/24/1993,5.27136,0.712797571,30,9.7916665
4/25/1993,5.317670975,0.509679714,27.05714286,6.59077375
4/26/1993,4.7590185,0.637742,35,8.4410714
4/27/1993,3.488368316,0.698675857,33,14.3079712
4/28/1993,4.195470025,0.655446571,33,14.9409092
4/29/1993,4.80458315,0.707142821,40,12.5689394
4/30/1993,3.918103675,0.7794005,29,14.5107142
5/1/1993,4.467176525,0.623092464,23.82352941,14.1515152
5/2/1993,3.047429175,0.507169036,22,13
5/3/1993,2.85558075,0.739683286,26,15.3765838
5/4/1993,4.80632765,0.708191214,24,15.7873188
5/5/1993,6.744735256,0.780132429,26,16.0204548
5/6/1993,7.889303725,0.737409321,25,16.9895694
5/7/1993,8.779951895,0.83196825,32.05555556,15.130435
5/8/1993,6.773849053,0.59315475,18,11.8083332
5/9/1993,7.297432342,0.399404786,15,10.1666668
5/10/1993,4.908430763,0.709909107,28,14.99566525
5/11/1993,4.657152825,0.693853536,27,15.41482275
5/12/1993,4.259155,0.724515536,26,15.70731525
5/13/1993,1.835195875,0.516433821,19.97297297,11.5098158
5/14/1993,4.085337125,0.543452321,18,13.6000002
5/15/1993,2.99955415,0.572767857,19,14.9916666
5/16/1993,1.946458325,0.610700107,22,11.7730518
5/17/1993,4.859310875,0.749450214,25,12.5236954
5/18/1993,3.728126675,0.807866321,31,14.2212122
5/19/1993,3.510256475,0.73047,22.62162162,10.9030304
5/20/1993,5.460725125,0.620781607,19,11.5353536
5/21/1993,5.60548295,0.590650893,31,12.7416666
5/22/1993,6.01563475,0.51622025,33,11.3833334
5/23/1993,6.14297865,0.463010179,32,11.4738094
5/24/1993,3.635424725,0.645463321,37,11.065
5/25/1993,4.46800385,0.748220786,31.51428571,13.4016666
5/26/1993,5.50371515,0.708274571,35,14.932411
5/27/1993,5.623764211,0.700275929,32,14.8134388
5/28/1993,4.610196737,0.78919725,28,16.3466668
5/29/1993,4.462220816,0.545788143,23,12.7499998
5/30/1993,5.893539553,0.581009107,12,12.7785712
5/31/1993,5.086907974,0.559293857,18.80555556,11.4988098
6/1/1993,7.852008079,0.750798786,18,14.4181346
6/2/1993,1.983164316,0.742508893,24,12.6857624
6/3/1993,1.500692105,0.676845179,29,8.2298484
6/4/1993,4.669923289,0.978530857,28,9.0245672
6/5/1993,3.020890526,0.703571357,21,9.675
6/6/1993,2.802864,0.587287429,19.86111111,7.8833334
6/7/1993,4.285987605,0.83564075,23,9.2590006
6/8/1993,6.214346125,0.730065964,28,10.0916668
6/9/1993,5.051918875,0.643325857,24,8.8369784
6/10/1993,6.831923075,0.667784286,22,10.4958874
6/11/1993,7.448927975,0.7731625,23,13.8931818
6/12/1993,6.206303675,0.725595143,26.91176471,14.45
6/13/1993,5.550391925,0.695925536,35,14.2440474
6/14/1993,5.694109575,0.814881607,39,16.5499998
6/15/1993,5.02071,0.761041214,25,13.7123438
6/16/1993,3.444872525,0.753084429,21,15.517619
6/17/1993,3.914941025,0.694187607,20,13.1863636
6/18/1993,3.372089132,0.679871857,25.75,12.397222
6/19/1993,3.482204842,0.557291679,17,7.8749998
6/20/1993,9.855284684,0.498781214,17,8.0857144
