#title = mean sea level anomaly Gulf of Mexico (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (https://www.star.nesdis.noaa.gov/socd/lsa/RADS.php) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 4.68 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3,Sentinel-6MF
1992.96060,-2.25000,,,,
1992.98570,2.19000,,,,
1993.01130,1.29000,,,,
1993.03960,16.14000,,,,
1993.06300,25.82000,,,,
1993.09710,40.10000,,,,
1993.12020,21.94000,,,,
1993.14820,33.42000,,,,
1993.17580,-15.45000,,,,
1993.20330,-41.87000,,,,
1993.23020,-40.54000,,,,
1993.28450,-9.83000,,,,
1993.31150,-32.14000,,,,
1993.33870,-28.42000,,,,
1993.36600,-22.42000,,,,
1993.39300,-5.91000,,,,
1993.42010,-15.54000,,,,
1993.44730,4.48000,,,,
1993.47490,23.59000,,,,
1993.50160,-7.00000,,,,
1993.52870,-9.05000,,,,
1993.58320,-9.48000,,,,
1993.61230,-24.17000,,,,
1993.63750,-37.93000,,,,
1993.66440,-30.66000,,,,
1993.69210,-23.75000,,,,
1993.71860,-5.23000,,,,
1993.74590,5.23000,,,,
1993.77330,1.58000,,,,
1993.80020,0.61000,,,,
1993.85450,6.24000,,,,
1993.88190,-14.88000,,,,
1993.90890,-12.84000,,,,
1993.93600,7.55000,,,,
1993.96290,-14.82000,,,,
1993.99010,-21.05000,,,,
1994.01690,-18.72000,,,,
1994.04430,-24.16000,,,,
1994.07130,-38.34000,,,,
1994.09880,-16.98000,,,,
1994.12640,7.74000,,,,
1994.15310,18.95000,,,,
1994.18040,-17.12000,,,,
1994.23460,-47.93000,,,,
1994.26160,-12.39000,,,,
1994.28880,-6.90000,,,,
1994.31600,-8.42000,,,,
1994.34290,-22.14000,,,,
1994.37010,-25.25000,,,,
1994.39720,9.08000,,,,
1994.42420,-6.30000,,,,
1994.45160,-24.63000,,,,
1994.50600,-4.70000,,,,
1994.53310,-24.13000,,,,
1994.56030,-53.72000,,,,
1994.58740,-17.76000,,,,
1994.61470,-14.10000,,,,
1994.64190,-27.11000,,,,
1994.66940,-16.04000,,,,
1994.69600,-18.34000,,,,
1994.72350,-33.79000,,,,
1994.75070,-41.63000,,,,
1994.77750,-32.24000,,,,
1994.80460,-18.88000,,,,
1994.83230,-23.16000,,,,
1994.88610,-7.44000,,,,
1994.91300,20.90000,,,,
1994.94030,5.10000,,,,
1994.96770,4.95000,,,,
1994.99470,0.16000,,,,
1995.02220,1.03000,,,,
1995.04890,-24.18000,,,,
1995.07610,-43.43000,,,,
1995.10340,-50.34000,,,,
1995.13080,-34.59000,,,,
1995.15760,-24.97000,,,,
1995.21190,5.29000,,,,
1995.23900,0.57000,,,,
1995.26620,24.51000,,,,
1995.29300,5.56000,,,,
1995.32040,-22.57000,,,,
1995.37480,19.87000,,,,
1995.40190,9.82000,,,,
1995.42930,4.24000,,,,
1995.45600,-14.98000,,,,
1995.48310,8.59000,,,,
1995.53760,5.21000,,,,
1995.56470,-6.71000,,,,
1995.59200,30.87000,,,,
1995.61910,30.91000,,,,
1995.64620,27.76000,,,,
1995.67340,21.81000,,,,
1995.70060,19.00000,,,,
1995.72780,19.38000,,,,
1995.75480,49.88000,,,,
1995.78150,32.33000,,,,
1995.83700,-5.75000,,,,
1995.86370,-7.94000,,,,
1995.89030,-20.44000,,,,
1995.94510,-22.86000,,,,
1995.97200,-27.80000,,,,
1995.99990,-27.58000,,,,
1996.02620,-37.36000,,,,
1996.05320,-1.98000,,,,
1996.08030,5.06000,,,,
1996.10750,-20.93000,,,,
1996.16200,-39.02000,,,,
1996.18910,-22.80000,,,,
1996.21170,-27.27000,,,,
1996.24380,-47.10000,,,,
1996.27090,-51.29000,,,,
1996.29780,-66.65000,,,,
1996.32490,-59.10000,,,,
1996.35190,-41.90000,,,,
1996.37920,-41.47000,,,,
1996.40640,-38.13000,,,,
1996.43350,-53.66000,,,,
1996.48810,-78.13000,,,,
1996.51510,-48.70000,,,,
1996.54270,-27.68000,,,,
1996.56910,-22.94000,,,,
1996.59660,-34.23000,,,,
1996.62370,-40.87000,,,,
1996.65130,-42.09000,,,,
1996.67780,-62.76000,,,,
1996.70510,-72.57000,,,,
1996.73200,-50.76000,,,,
1996.75940,11.85000,,,,
1996.81380,-17.67000,,,,
1996.84080,2.25000,,,,
1996.86800,11.51000,,,,
1996.89500,4.57000,,,,
1996.92210,-11.83000,,,,
1996.94930,-27.98000,,,,
1996.97670,-15.16000,,,,
1997.00410,-21.58000,,,,
1997.03090,11.08000,,,,
1997.05830,15.18000,,,,
1997.08550,5.57000,,,,
1997.13960,-7.27000,,,,
1997.16660,3.65000,,,,
1997.19370,26.93000,,,,
1997.22080,7.25000,,,,
1997.24800,-17.36000,,,,
1997.27520,10.68000,,,,
1997.30240,-2.61000,,,,
1997.33120,-1.12000,,,,
1997.35700,2.54000,,,,
1997.38380,-22.52000,,,,
1997.41090,-24.18000,,,,
1997.46510,6.39000,,,,
1997.49240,-1.17000,,,,
1997.51950,-10.33000,,,,
1997.54680,-2.70000,,,,
1997.57360,-3.54000,,,,
1997.62800,-22.23000,,,,
1997.65540,-13.09000,,,,
1997.68230,-19.72000,,,,
1997.70940,-8.80000,,,,
1997.73660,-33.69000,,,,
1997.79100,13.96000,,,,
1997.81820,-8.86000,,,,
1997.84540,-59.90000,,,,
1997.87250,-44.19000,,,,
1997.89940,-11.64000,,,,
1997.92700,-65.76000,,,,
1997.95360,-77.54000,,,,
1997.98110,-66.92000,,,,
1998.00840,-51.09000,,,,
1998.03490,-39.24000,,,,
1998.09040,20.21000,,,,
1998.11680,14.27000,,,,
1998.14400,5.20000,,,,
1998.17130,15.76000,,,,
1998.19820,30.44000,,,,
1998.22550,0.31000,,,,
1998.25240,-30.16000,,,,
1998.27960,-6.04000,,,,
1998.30700,-9.14000,,,,
1998.33380,-14.70000,,,,
1998.36110,13.49000,,,,
1998.41420,10.25000,,,,
1998.44150,-0.88000,,,,
1998.46960,7.02000,,,,
1998.49680,-15.97000,,,,
1998.52400,-7.04000,,,,
1998.55110,-18.33000,,,,
1998.60530,-26.78000,,,,
1998.63260,-19.72000,,,,
1998.65930,11.20000,,,,
1998.68680,28.98000,,,,
1998.71400,30.24000,,,,
1998.74090,1.12000,,,,
1998.76860,-8.31000,,,,
1998.82270,38.18000,,,,
1998.85000,-1.55000,,,,
1998.87700,-39.02000,,,,
1998.90420,-46.18000,,,,
1998.93140,-49.47000,,,,
1998.95850,-6.27000,,,,
1998.98540,14.23000,,,,
1999.01270,17.44000,,,,
1999.03980,-0.78000,,,,
1999.09410,44.18000,,,,
1999.12610,60.74000,,,,
1999.14820,38.42000,,,,
1999.17590,18.84000,,,,
1999.20290,10.79000,,,,
1999.22990,-13.48000,,,,
1999.25700,-1.78000,,,,
1999.28310,13.00000,,,,
1999.33840,36.21000,,,,
1999.36580,14.39000,,,,
1999.39260,13.12000,,,,
1999.41980,24.58000,,,,
1999.44680,13.53000,,,,
1999.47450,5.65000,,,,
1999.50130,10.56000,,,,
1999.52820,6.49000,,,,
1999.55570,5.60000,,,,
1999.58290,-3.26000,,,,
1999.61030,1.79000,,,,
1999.63720,-5.00000,,,,
1999.69140,0.69000,,,,
1999.71850,28.60000,,,,
1999.74580,51.04000,,,,
1999.77300,34.58000,,,,
1999.80090,12.92000,,,,
1999.82720,5.82000,,,,
1999.85410,18.08000,,,,
1999.88150,1.12000,,,,
1999.90740,29.32000,,,,
1999.96270,15.87000,,,,
1999.99030,-14.75000,,,,
2000.01710,17.57000,,,,
2000.04420,31.71000,,,,
2000.07150,14.21000,,,,
2000.09890,11.23000,,,,
2000.12570,17.93000,,,,
2000.15290,29.16000,,,,
2000.18010,11.62000,,,,
2000.20690,5.44000,,,,
2000.23430,21.32000,,,,
2000.28890,17.49000,,,,
2000.31570,22.22000,,,,
2000.34290,23.26000,,,,
2000.37010,19.85000,,,,
2000.39710,35.38000,,,,
2000.42360,28.65000,,,,
2000.45160,38.17000,,,,
2000.47860,18.87000,,,,
2000.50570,22.17000,,,,
2000.53300,15.70000,,,,
2000.58740,8.04000,,,,
2000.61350,-9.28000,,,,
2000.64160,-15.38000,,,,
2000.66840,-18.45000,,,,
2000.69590,-8.61000,,,,
2000.72350,-20.29000,,,,
2000.75000,-26.65000,,,,
2000.77770,9.27000,,,,
2000.80440,17.19000,,,,
2000.85890,11.78000,,,,
2000.88560,23.41000,,,,
2000.91430,-10.65000,,,,
2000.94090,-3.75000,,,,
2000.96720,-10.94000,,,,
2000.99410,-19.55000,,,,
2001.02180,-24.15000,,,,
2001.07610,-21.23000,,,,
2001.10310,-9.17000,,,,
2001.13000,-9.30000,,,,
2001.15730,-17.94000,,,,
2001.18450,-20.76000,,,,
2001.21110,-8.27000,,,,
2001.23860,-29.26000,,,,
2001.26590,-9.14000,,,,
2001.29280,1.29000,,,,
2001.32020,-15.54000,,,,
2001.34750,8.81000,,,,
2001.37460,8.29000,,,,
2001.40140,-10.84000,,,,
2001.42970,-12.70000,,,,
2001.45570,-20.74000,,,,
2001.48370,-10.22000,,,,
2001.51040,-2.23000,,,,
2001.53730,-22.39000,,,,
2001.56500,6.28000,,,,
2001.59190,2.01000,,,,
2001.61880,-13.96000,,,,
2001.64580,13.73000,,,,
2001.67330,-10.65000,,,,
2001.70030,-18.21000,,,,
2001.72710,-0.17000,,,,
2001.75470,11.59000,,,,
2001.78160,9.14000,,,,
2001.80880,3.69000,,,,
2001.83600,29.22000,,,,
2001.86300,24.46000,,,,
2001.89190,-3.89000,,,,
2001.91750,17.59000,,,,
2001.95650,34.86000,,,,
2001.97100,38.73000,,,,
2001.99910,35.72000,,,,
2002.02490,10.19000,,,,
2002.05320,-2.48000,9.52000,,,
2002.08040,2.88000,,,,
2002.08160,,15.56000,,,
2002.10700,44.63000,,,,
2002.10710,,55.89000,,,
2002.13440,37.61000,,,,
2002.13460,,43.80000,,,
2002.16160,21.81000,,,,
2002.16200,,35.36000,,,
2002.18900,1.12000,,,,
2002.18910,,9.23000,,,
2002.21600,,14.94000,,,
2002.21610,-6.83000,,,,
2002.24310,-1.38000,11.97000,,,
2002.27020,,30.83000,,,
2002.27040,20.49000,,,,
